year,muni_code,party,share,coverage,councils,history_in_province
2021,WC033,COMPATRIOTS OF SOUTH AFRICA,0.003988915015115889,0.8333333333333334,5,FALSE
2021,WC034,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0025754697065653366,0.5,20,FALSE
2021,WC034,PATRIOTIC ALLIANCE,0.002195482372809795,1,23,TRUE
2021,WC034,WESTERN PROVINCE PARTY,0.024445851804939835,1,4,FALSE
2021,WC041,AFRICA RESTORATION ALLIANCE,0.005016722408026756,1,15,FALSE
2021,WC041,KANNALAND INDEPENDENT PARTY,0.07486064659977704,1,1,FALSE
2021,WC041,SUID - KAAP SAAMSTAAN,0.0030100334448160534,0.75,3,FALSE
2021,WC042,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.00392156862745098,0.8888888888888888,20,FALSE
2021,WC042,PATRIOTIC ALLIANCE,0.02816834050693448,0.7777777777777778,23,TRUE
2021,WC042,HESSEQUA PEOPLES MOVEMENT,0.013151602104256336,0.6666666666666666,1,FALSE
2021,WC042,EDEN UNITED PEOPLE'S PARTY,0.0013390722142515542,0.6666666666666666,2,FALSE
2021,WC043,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.004948810300331811,0.6666666666666666,20,FALSE
2021,WC043,EDEN UNITED PEOPLE'S PARTY,8.36618360228014e-4,0.3333333333333333,2,FALSE
2021,WC043,PATRIOTIC ALLIANCE,0.020135560534301353,0.8666666666666667,23,TRUE
2021,WC043,UNITED INDEPENDENT MOVEMENT,0.0034315532741555827,0.7333333333333333,5,FALSE
2021,WC043,AFRICA RESTORATION ALLIANCE,2.268795553160716e-4,0.4,15,FALSE
2021,WC043,SPECTRUM NATIONAL PARTY,2.552394997305805e-4,0.4666666666666667,11,FALSE
2021,WC044,ACTIVE UNITED FRONT,0.0018777073379315473,0.21428571428571427,3,TRUE
2021,WC044,AFRICA RESTORATION ALLIANCE,8.458978601572812e-4,0.5357142857142857,15,FALSE
2021,WC044,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.004954544609492647,0.6071428571428571,20,FALSE
2021,WC044,PATRIOTIC ALLIANCE,0.016053468181226646,0.75,23,TRUE
2021,WC044,SPECTRUM NATIONAL PARTY,2.6027626466377883e-4,0.07142857142857142,11,FALSE
2021,WC044,UNITED INDEPENDENT MOVEMENT,0.002193757087880422,0.7142857142857143,5,FALSE
2021,WC044,COMPATRIOTS OF SOUTH AFRICA,0.0015802487497443714,0.42857142857142855,5,FALSE
2021,WC044,THE ORGANIC HUMANITY MOVEMENT,0.0018498205952889996,0.6071428571428571,7,FALSE
2021,WC044,AFRICAN FREEDOM REVOLUTION,6.506906616594471e-5,0,3,FALSE
2021,WC045,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.003588621444201313,0.9230769230769231,20,FALSE
2021,WC045,OUDTSHOORN GEMEENSKAP INISIATIEF,0.053304157549234135,1,1,FALSE
2021,WC045,PATRIOTIC ALLIANCE,0.03490153172866521,1,23,TRUE
2021,WC045,IQELA LENTSANGO - DAGGA PARTY,7.00218818380744e-4,0.07692307692307693,4,FALSE
2021,WC045,SUID - KAAP SAAMSTAAN,0.016214442013129104,0.8461538461538461,3,FALSE
2021,WC045,COMPATRIOTS OF SOUTH AFRICA,0.00538293216630197,0.8461538461538461,5,FALSE
2021,WC045,AFRICA RESTORATION ALLIANCE,0.0012910284463894968,0.7692307692307693,15,FALSE
2021,WC047,AFRICA RESTORATION ALLIANCE,0.0015548135498177555,0.7142857142857143,15,FALSE
2021,WC047,BITOU CONCERNED RESIDENTS,0.004868350623199858,0.2857142857142857,1,FALSE
2021,WC047,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0024469196849590904,0.8571428571428571,20,FALSE
2021,WC047,CITIZENS RIGHTS PROTECTION UNITY,0.0037468457675936075,0.42857142857142855,1,FALSE
2021,WC047,IKHWEZI POLITICAL MOVEMENT,0.031988377131496444,1,1,FALSE
2021,WC047,PATRIOTIC ALLIANCE,0.05717125888920042,1,23,TRUE
2021,WC047,PLETT DEMOCRATIC CONGRESS,0.06509825911859914,0.5714285714285714,1,FALSE
