file,url,retrieved_utc,bytes,sha256,note
data/raw/iec/lge/2016/downloadable_party_results/WC031.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC031.csv,2026-09-24 22:18:08 UTC,165522,43c56607a1bd35d838622f79f94f5a32bc0254c256c80520670a80ee7a14e837,
data/raw/iec/lge/2016/downloadable_party_results/WC032.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC032.csv,2026-09-24 22:18:09 UTC,83272,5601fe06ed7c6c65330c3862e3cb94deabb5266df4b77d978050f1bf164efdc5,
data/raw/iec/lge/2016/downloadable_party_results/WC033.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC033.csv,2026-09-24 22:18:10 UTC,52931,db6209a813fe6d363731618fe164103e1e145e22debf0ef7961c89845ceffb26,
data/raw/iec/lge/2016/downloadable_party_results/WC034.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC034.csv,2026-09-24 22:18:10 UTC,58394,eaac0d631680222ee293bc4ddd318f4456532f83afad81b94534c5bc54721826,
data/raw/iec/lge/2016/downloadable_party_results/WC041.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC041.csv,2026-09-24 22:18:11 UTC,46978,a53012fad8dc8ef56be7d23a7bb719f9ac3fc7588d14de0ed748ddcc130ff292,
data/raw/iec/lge/2016/downloadable_party_results/WC042.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC042.csv,2026-09-24 22:18:12 UTC,95443,8bc1ddddb9996503b35b66ae2fde0429f13b6a9c2aea748f14f4ffa6a0276676,
data/raw/iec/lge/2016/downloadable_party_results/WC043.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC043.csv,2026-09-24 22:18:12 UTC,154667,49492380125a684bb59dea924074f62cc7b118501bd03de339a4741abeb5e1eb,
data/raw/iec/lge/2016/downloadable_party_results/WC044.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC044.csv,2026-09-24 22:18:13 UTC,342904,6f4014ca22231a628eac58db9e60102ac024e3081946cfd33ff18721da71d24a,
data/raw/iec/lge/2016/downloadable_party_results/WC045.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC045.csv,2026-09-24 22:18:14 UTC,215349,3028dea4eb5027cfc45b51a3b829e18b50ddead825544989250ea64542786412,
data/raw/iec/lge/2016/downloadable_party_results/WC047.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC047.csv,2026-09-24 22:18:15 UTC,85640,8292b12775eabce28c0f12e805469cfa7405914de24bf405e3ec82d30e65ae0b,
data/raw/iec/lge/2016/downloadable_party_results/WC048.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC048.csv,2026-09-24 22:18:15 UTC,161499,44b01bc4fab09f5dba32065283e555f44675152350f6b5ba6bc3458cd6bd1d08,
data/raw/iec/lge/2016/downloadable_party_results/WC051.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC051.csv,2026-09-24 22:18:16 UTC,19017,6aef04725062ebc7d3b0027f0593f20e313b130c7fc89a65bdbb915835ed8ad9,
data/raw/iec/lge/2016/downloadable_party_results/WC052.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC052.csv,2026-09-24 22:18:17 UTC,25145,0941a7885fa500cb622348d410b0a4da54509d2d625c4e88df6e885af926fd7b,
data/raw/iec/lge/2016/downloadable_party_results/WC053.csv,https://results.elections.org.za/home/LGEPublicReports/402/Downloadable%20Party%20Results/WP/WC053.csv,2026-09-24 22:18:17 UTC,84144,d841dd2227ca55a30925f719b75cee17abdf146f450f42752d234ab814e4cb35,
